index,OBJECTID,poly_idx,latitude,longitude,E_NOVEH,M_NOVEH
88,89.0,89,34.68146986011107,-78.42112998461869,85,78
89,90.0,90,34.56544204023394,-78.41042579387009,61,76
90,91.0,91,34.766409914513275,-78.67833281923038,128,86
91,92.0,92,34.66157105604072,-78.71735258149513,135,131
92,93.0,93,34.72965990308207,-78.81141453900109,51,71
93,94.0,94,34.63205667806565,-78.62972110434669,237,137
94,95.0,95,34.59496247932067,-78.62117053650472,31,32
95,96.0,96,34.575055574608704,-78.76028931166215,51,46
96,97.0,97,34.50927615423002,-78.79449770500048,52,36
97,98.0,98,34.51955918721513,-78.59036942851505,137,94
98,99.0,99,34.43947185562468,-78.45462133468261,129,63
