from_id,to_id,travel_time
38,89,24
38,90,24
38,91,24
38,92,14
38,93,28
38,94,8
38,95,5
38,96,29
38,97,24
38,98,21
38,99,43
42,89,70
42,90,71
42,91,47
42,92,42
42,93,37
42,94,52
42,95,51
42,96,59
42,97,59
42,98,67
42,99,88
59,89,53
59,90,54
59,91,54
59,92,40
59,93,54
59,94,37
59,95,29
59,96,42
59,97,27
59,98,33
59,99,42
98,89,46
98,90,57
98,91,55
98,92,59
98,93,73
98,94,52
98,95,51
98,96,75
98,97,70
98,98,67
98,99,88
103,89,59
103,90,60
103,91,60
103,92,34
103,93,37
103,94,43
103,95,35
103,96,34
103,97,29
103,98,46
103,99,61
