to_id,min_travel_time,second_min_travel_time,third_min_travel_time,median_travel_time,average_travel_time,q1_travel_time,q3_travel_time
89.0,35,51,65,65.0,60.4,51.0,70.0
90.0,21,51,54,54.0,50.2,51.0,57.0
91.0,24,54,56,56.0,51.2,54.0,60.0
92.0,16,36,42,42.0,39.8,36.0,44.0
93.0,28,37,37,37.0,45.6,37.0,53.0
94.0,3,33,39,39.0,34.8,33.0,49.0
95.0,4,30,33,33.0,33.4,30.0,50.0
96.0,19,24,33,33.0,38.2,24.0,50.0
97.0,19,24,29,29.0,38.4,24.0,54.0
98.0,20,28,40,40.0,44.0,28.0,66.0
99.0,35,43,61,61.0,59.8,43.0,80.0
