to_id,min_travel_time,second_min_travel_time,third_min_travel_time,median_travel_time,average_travel_time,q1_travel_time,q3_travel_time
949.0,5,7,7,9.5,15.5,7.5,25.5
950.0,4,6,9,10.0,16.4,9.0,26.5
951.0,5,8,9,9.5,16.7,9.0,27.5
952.0,3,4,5,11.0,14.5,5.0,23.5
953.0,5,7,8,14.5,17.3,8.0,25.5
954.0,4,5,6,13.5,16.8,6.5,26.5
955.0,3,5,6,13.5,15.0,6.5,21.5
956.0,4,7,8,14.0,15.1,8.25,20.0
957.0,4,6,7,13.5,14.9,7.5,20.75
958.0,4,5,6,12.0,14.7,6.25,22.5
959.0,5,5,7,12.0,15.0,7.0,23.5
960.0,2,4,6,10.0,14.3,6.0,24.5
961.0,3,5,8,10.5,16.0,8.0,26.5
962.0,7,8,9,12.0,17.4,9.25,27.5
963.0,7,8,10,13.0,17.1,10.5,25.5
964.0,4,8,11,12.5,16.2,11.25,23.75
965.0,5,6,8,11.0,15.6,8.25,24.75
966.0,4,6,8,11.5,15.2,8.25,23.75
967.0,3,7,10,12.5,15.5,10.0,23.5
968.0,7,7,8,13.0,15.2,8.25,21.75
969.0,6,7,8,12.5,14.6,8.0,21.5
970.0,6,7,8,12.5,14.4,8.25,20.0
971.0,7,9,10,12.5,15.3,10.0,19.75
972.0,9,10,11,14.5,19.3,11.5,25.75
973.0,7,10,12,14.0,19.8,12.25,29.75
974.0,7,8,8,14.5,17.9,8.25,25.5
975.0,7,9,10,17.0,17.5,10.25,22.0
976.0,6,7,10,16.5,16.9,10.25,22.0
977.0,5,5,7,14.5,15.6,7.25,20.5
978.0,5,6,8,16.0,16.4,8.25,21.5
979.0,8,8,10,16.5,17.5,10.25,21.0
980.0,7,9,10,17.5,18.1,10.25,22.75
981.0,7,8,8,12.5,14.1,8.5,19.0
982.0,12,15,17,18.5,19.8,17.25,21.5
983.0,10,12,13,14.5,17.2,13.0,21.0
984.0,10,10,11,13.5,16.0,11.25,20.25
985.0,9,11,12,15.5,16.7,12.5,21.0
986.0,10,12,13,15.5,17.1,13.25,21.0
987.0,11,13,14,15.0,18.2,14.25,22.75
988.0,7,9,9,13.5,15.6,9.5,19.0
989.0,7,9,10,14.5,16.1,10.25,19.0
990.0,11,11,11,14.5,16.1,11.25,19.75
991.0,14,15,15,17.0,18.8,15.25,21.75
992.0,4,6,9,12.5,16.8,9.5,23.75
993.0,7,9,9,12.0,18.3,9.5,28.75
994.0,7,10,11,11.5,18.4,11.0,28.75
995.0,5,8,9,10.5,16.6,9.0,26.75
996.0,6,9,9,11.5,17.0,9.25,26.75
997.0,10,13,16,17.5,21.1,16.25,28.5
